Condition,Brand,Form Factor,CPU Type,RAM Type,RAM Size,RAM Rating,RAM MHz,HDD Type,HDD RPM,Optical Drive,Video,COA,Damage
Boots to BIOS,Dell,Desktop,Pentium 3,DDR,256mb,PC-100,100MHz,IDE,Unknown,None,None,None,N/A
Power Only,HP,SFF Desktop,Pentium 4,DDR2,512mb,PC-133,133MHz,SATA,4200,CD-ROM,Onboard,Win XP Pro,Grade A+
For Parts,IBM,USFF Desktop,Pentium 4 HT,DDR3,768mb,PC-1600,200MHz,SCSI,5400,CD-RW,PCIe,Win Vista Business,Grade A
Untested,Lenovo,Laptop,Pentium D,DDR4,1gb,PC-2100,266MHz,SAS,7200,DVD-ROM,AGP,Win 7 Pro,Grade B
,Toshiba,Server,Pentium Dual Core,RAMBUS,1.5gb,PC-2700,333MHz,ZIF,10K,CD-RW/DVD,PCI,XP Home,Grade C
,Fujitsu,Workstation,Pentium M,SDRAM,2gb,PC-3200,400MHz,FLASH,15K,DVDÂ±RW,Mobile,XP Media,Grade D
,Sony,Motherboard,Mobile P4,N/A,2.5gb,PC2-3200,400MHz,SSD,N/A,Blu-ray,,Vista Home Basic,Grade E
,Apple,DVR,Celeron,,3gb,PC2-4200,533MHz,microSATA,,,,Vista Home Premium,
,MPC,Thin Client,Celeron M,,4gb,PC2-5300,667MHz,,,,,Vista Enterprise,
,American Dynamics,Tablet,Core Solo,,6gb,PC2-6400,800MHz,,,,,Vista Ultimate,
,Sensormatic,All-in-One,Core Duo,,8gb,PC2-8500,1066MHz,,,,,7 Home Basic,
,Custom,Slim Desktop,Core 2 Solo,,12gb,PC3-6400,800MHz,,,,,7 Home Premium,
,Other:,POS,Core 2 Duo,,16gb,PC3-8500,1066MHz,,,,,7 Pro,
,,Micro Tower,Core 2 Quad,,24gb,PC3-10600,1333MHz,,,,,7 Enterprise,
,,Tablet Laptop,Core 2 Extreme,,32gb,PC3-12800,1600MHz,,,,,7 Ultimate,
,,Convertible Mini Tower,Core,,48gb,PC3-14900,1867MHz,,,,,Windows 2000,
,,Ultra Slim Desktop,Core i3,,72gb,PC3-17000,2133MHz,,,,,Windows 2000 Pro,
,,Micro PC,Core i5,,64gb,PC3-19200,2400MHz,,,,,Windows 98,
,,Rack Workstation,Core i7,,80gb,PC3-21300,2667MHz,,,,,Windows NT,
,,Mini Tower,Atom,,96gb,PC3-24000,3000MHz,,,,,Server 2003,
,,Slim Tower,Xeon,,128gb,PC4-17000,2133MHz,,,,,Server 2008,
,,Tower Server,Opteron,,144gb,PC4-25600,3200MHz,,,,,Server 2008 R2,
,,Server Blade,Turion,,192gb,N/A,N/A,,,,,XP Tablet PC Edition,
,,Enclosure,Turion 64 X2,,240gb,,,,,,,Windows Embedded Standard,
,,,Sempron,,256gb,,,,,,,Windows Server 2003 R2 Std X64,
,,,Mobile Sempron,,288gb,,,,,,,Win Server Ent 2003 R2 x64,
,,,Athlon 64,,None,,,,,,,Windows SBS Std 2003 R2,
,,,Athlon 64 X2,,36gb,,,,,,,Windows 2000 Pro Embedded,
,,,Athlon II X2,,68gb,,,,,,,XP Pro for Embedded Systems,
,,,Athlon II X3,,,,,,,,,Windows Server 2008 R2 Std,
,,,Phenom,,,,,,,,,,
,,,Phenom II,,,,,,,,,,
,,,UltraSPARC II,,,,,,,,,,
,,,UltraSPARC III,,,,,,,,,,
,,,UltraSPARC IV,,,,,,,,,,
,,,UltraSPARC IIIi,,,,,,,,,,
,,,UltraSPARC T1,,,,,,,,,,
,,,UltraSPARC T2,,,,,,,,,,
,,,Power6,,,,,,,,,,
,,,TM5800,,,,,,,,,,
,,,PowerPC G3,,,,,,,,,,
,,,PowerPC G4,,,,,,,,,,
,,,PowerPC G5,,,,,,,,,,
,,,Power5,,,,,,,,,,
,,,VIA Eden,,,,,,,,,,
,,,VIA C7,,,,,,,,,,
,,,VIA C7 S2,,,,,,,,,,
,,,PA-8600,,,,,,,,,,
,,,Pentium,,,,,,,,,,
,,,AMD A4,,,,,,,,,,
,,,AMD A6,,,,,,,,,,
,,,AMD A8,,,,,,,,,,
,,,AMD A10,,,,,,,,,,
,,,PCX-W2,,,,,,,,,,
,,,Itanium,,,,,,,,,,
,,,Itanium 2,,,,,,,,,,
,,,PowerPC,,,,,,,,,,